SRL NO,Date,CHQNO,PARTICULARS,DR,CR,BAL
80,07-07-2022,-,Silver , ,100000,2525
85,19-07-2022,-,Swayam Shipping, ,250000,250000
90,20-07-2022,-,Silver , ,150000,74146
92,20-07-2022,-,Cargotrans Maritime Forwording Pvt Ltd, ,75740,75740
93,20-07-2022,-,Swayam Shipping, ,240420,316160
96,28-07-2022,-,Silver , ,100000,200000
105,02-08-2022,-,Silver , ,135520,230709
119,12-08-2022,-,Silver , ,182640,189941.1
129,24-08-2022,-,Silver , ,100000,130369.1
131,26-08-2022,-,Epsilonlogistics LLP, ,34720,145089.1
145,05-09-2022,-,Cargotrans Maritime Forwording Pvt Ltd, ,19720,61222
149,09-09-2022,-,Swayam Shipping, ,62000,78246
150,09-09-2022,-,Silver , ,100000,178246
159,29-09-2022,-,Silver , ,168160,181479
162,30-09-2022,-,Epsilonlogistics LLP, ,71680,193159
186,13-10-2022,-,Silver , ,100000,103017.1
193,20-10-2022,-,Silver , ,277200,301346
202,04-11-2022,-,Silver , ,150000,1357341
212,08-11-2022,-,Silver , ,50000,1229961
225,22-11-2022,-,Globlink W W India Pvt Ltd, ,38500,1119908.1
227,22-11-2022,-,Silver , ,147840,1217748.1
257,05-12-2022,-,Swayam Shipping, ,172050,1070970.5
286,26-12-2022,-,Cargotrans Maritime Forwording Pvt Ltd, ,18870,23849.5
296,03-01-2023,-,Silver , ,200000,590245.5
317,11-01-2023,-,Logistics9, ,55440,70723.5
325,17-01-2023,-,Silver , ,100000,150245.5
339,24-01-2023,-,Silver , ,94640,114547.5
361,07-02-2023,-,Logistics9, ,74480,129919
362,07-02-2023,-,Silver , ,100000,229919
372,16-02-2023,-,Logistics9, ,36960,151180
395,28-02-2023,-,Logistics9, ,56560,307523
415,06-03-2023,-,Logistics9, ,36960,79044
434,13-03-2023,-,Swayam Shipping, ,189255,234789
436,13-03-2023,-,Cargotrans Maritime Forwording Pvt Ltd, ,37740,72529
437,14-03-2023,-,Silver , ,122260,194789
442,16-03-2023,-,Logistics9, ,55440,188829
452,21-03-2023,-,Logistics9, ,74480,121562
